time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum,,,time,oldX
1.63E+18,0.386067,0.166888,-0.356379,0.080494945,-0.144323533,0.003624735,,,1.63E+18,0.042918
1.63E+18,0.325836,0.373605,-0.433627,0.084351711,-0.14265634,6.45E-05,,,1.63E+18,0.042888
1.63E+18,0.20368,0.654027,-0.472391,0.087610113,-0.138920243,-0.004271777,,,1.63E+18,0.042753
1.63E+18,0.054367,0.803375,-0.492654,0.089646887,-0.132380056,-0.008995627,,,1.63E+18,0.042363
1.63E+18,-0.13823,0.766182,-0.490158,0.090190564,-0.124346204,-0.01392223,,,1.63E+18,0.041756
1.63E+18,-0.319832,0.577058,-0.445321,0.088806901,-0.116676832,-0.018828641,,,1.63E+18,0.040972
1.63E+18,-0.445967,0.324684,-0.333951,0.085611733,-0.11091194,-0.023277462,,,1.63E+18,0.039967
1.63E+18,-0.516129,0.164183,-0.214972,0.081152121,-0.107665141,-0.026616929,,,1.63E+18,0.038755
1.63E+18,-0.524279,0.211185,-0.152437,0.075990764,-0.10602329,-0.028766676,,,1.63E+18,0.037374
1.63E+18,-0.464991,0.401461,-0.164899,0.070748042,-0.103911467,-0.030291027,,,1.63E+18,0.035955
1.63E+18,-0.415388,0.683995,-0.261084,0.066098072,-0.099896806,-0.031940038,,,1.63E+18,0.034508
1.63E+18,-0.44731,0.994855,-0.37727,0.061944245,-0.093056943,-0.034550845,,,1.63E+18,0.033061
1.63E+18,-0.541942,1.183839,-0.467434,0.057471088,-0.083108266,-0.038323593,,,1.63E+18,0.031687
1.63E+18,-0.635998,1.152424,-0.49419,0.052051737,-0.071270027,-0.042997873,,,1.63E+18,0.030398
1.63E+18,-0.731241,1.023252,-0.428409,0.045691676,-0.05974564,-0.047939836,,,1.63E+18,0.029205
1.63E+18,-0.793776,0.948517,-0.314596,0.03837936,-0.049513251,-0.052223872,,,1.63E+18,0.028044
1.63E+18,-0.807756,0.937818,-0.205931,0.030441498,-0.04002796,-0.055369872,,,1.63E+18,0.026934
1.63E+18,-0.767474,0.98358,-0.136328,0.022364041,-0.0306499,-0.057429155,,,1.63E+18,0.025879
1.63E+18,-0.705497,1.045819,-0.110322,0.014689203,-0.020813974,-0.058792453,,,1.63E+18,0.02477
1.63E+18,-0.654795,1.032415,-0.09231,0.007634323,-0.010355918,-0.059895659,,,1.63E+18,0.02365
1.63E+18,-0.650921,0.863938,-0.0503,0.00108629,-3.16E-05,-0.060818771,,,1.63E+18,0.022536
1.63E+18,-0.688253,0.639558,-0.006842,-0.005422837,0.008607634,-0.061321764,,,1.63E+18,0.02124
1.63E+18,-0.756269,0.400344,0.017733,-0.012305455,0.015003296,-0.061390185,,,1.63E+18,0.019823
1.63E+18,-0.832627,0.114878,0.019583,-0.019868048,0.019006685,-0.061212857,,,1.63E+18,0.018326
1.63E+18,-0.902178,-0.265517,-0.020682,-0.028194425,0.020155479,-0.061017025,,,1.63E+18,0.016538
1.63E+18,-0.968344,-0.711152,-0.091508,-0.037216089,0.017500343,-0.061223842,,,1.63E+18,0.014541
1.63E+18,-1.035626,-1.123276,-0.14961,-0.046899653,0.010388732,-0.062138934,,,1.63E+18,0.012396
1.63E+18,-1.0931,-1.424381,-0.211132,-0.057255781,-0.000843884,-0.063635015,,,1.63E+18,0.01002
1.63E+18,-1.128862,-1.607954,-0.252654,-0.068186921,-0.015087876,-0.065746362,,,1.63E+18,0.007519
1.63E+18,-1.132143,-1.661868,-0.263667,-0.079475396,-0.03116721,-0.068272869,,,1.63E+18,0.004961
1.63E+18,-1.123311,-1.623296,-0.224641,-0.090808275,-0.047802695,-0.070912206,,,1.63E+18,0.002399
