stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
161,1626666225666452000,-0.697224,-0.072531,-0.280841,-0.697224,-0.072531,-0.280841,-0.656501,-0.002881,-0.237116
162,1626666225699777000,-0.895122,-0.085838,-0.315915,-0.895122,-0.085838,-0.315915,-0.762329,-0.014960,-0.233185
163,1626666225733103000,-1.067904,-0.102453,-0.345264,-1.067904,-0.102453,-0.345264,-0.871309,-0.026608,-0.229744
164,1626666225766429000,-1.204743,-0.135365,-0.362467,-1.204743,-0.135365,-0.362467,-0.978502,-0.037321,-0.227184
165,1626666225799755000,-1.303144,-0.140095,-0.370726,-1.303144,-0.140095,-0.370726,-1.078959,-0.046883,-0.225340
166,1626666225833080000,-1.371314,-0.130280,-0.371508,-1.371314,-0.130280,-0.371508,-1.170143,-0.055497,-0.223859
167,1626666225866406000,-1.404703,-0.128845,-0.367556,-1.404703,-0.128845,-0.367556,-1.252674,-0.063471,-0.222510
168,1626666225899732000,-1.425233,-0.127843,-0.360865,-1.425233,-0.127843,-0.360865,-1.326141,-0.070732,-0.221441
169,1626666225933057000,-1.445060,-0.130158,-0.352335,-1.445060,-0.130158,-0.352335,-1.391283,-0.077327,-0.220622
170,1626666225966383000,-1.462242,-0.133310,-0.344463,-1.462242,-0.133310,-0.344463,-1.448356,-0.083420,-0.219917
171,1626666225999709000,-1.479596,-0.138250,-0.339113,-1.479596,-0.138250,-0.339113,-1.498298,-0.088975,-0.219441
172,1626666226033035000,-1.496607,-0.147647,-0.337383,-1.496607,-0.147647,-0.337383,-1.542112,-0.094033,-0.219167
173,1626666226066360000,-1.516054,-0.154312,-0.338058,-1.516054,-0.154312,-0.338058,-1.579319,-0.098710,-0.219061
174,1626666226099686000,-1.536944,-0.158904,-0.338747,-1.536944,-0.158904,-0.338747,-1.610994,-0.103007,-0.219174
175,1626666226133012000,-1.557643,-0.164647,-0.338190,-1.557643,-0.164647,-0.338190,-1.638039,-0.106957,-0.219474
176,1626666226166338000,-1.572436,-0.169805,-0.337687,-1.572436,-0.169805,-0.337687,-1.656939,-0.110879,-0.220247
177,1626666226199664000,-1.581552,-0.170245,-0.336582,-1.581552,-0.170245,-0.336582,-1.668399,-0.114816,-0.221560
178,1626666226232989000,-1.590040,-0.170352,-0.333969,-1.590040,-0.170352,-0.333969,-1.673380,-0.118770,-0.223348
179,1626666226266315000,-1.591824,-0.171966,-0.331489,-1.591824,-0.171966,-0.331489,-1.662247,-0.123845,-0.228507
180,1626666226299641000,-1.589078,-0.172801,-0.329460,-1.589078,-0.172801,-0.329460,-1.633639,-0.130007,-0.236927
181,1626666226332966000,-1.586018,-0.173450,-0.326643,-1.586018,-0.173450,-0.326643,-1.588467,-0.137159,-0.248198
182,1626666226366292000,-1.578974,-0.173638,-0.322930,-1.578974,-0.173638,-0.322930,-1.532676,-0.143291,-0.260635
183,1626666226399618000,-1.566638,-0.172099,-0.316591,-1.566638,-0.172099,-0.316591,-1.464906,-0.148188,-0.273861
184,1626666226432944000,-1.540723,-0.180865,-0.308244,-1.540723,-0.180865,-0.308244,-1.383034,-0.152059,-0.287545
185,1626666226466269000,-1.493839,-0.193359,-0.297162,-1.493839,-0.193359,-0.297162,-1.285079,-0.155538,-0.301691
186,1626666226499595000,-1.392223,-0.215100,-0.287807,-1.392223,-0.215100,-0.287807,-1.167657,-0.158719,-0.315617
187,1626666226532921000,-1.207347,-0.231794,-0.284865,-1.207347,-0.231794,-0.284865,-1.028521,-0.161897,-0.328806
188,1626666226566246000,-0.933707,-0.243985,-0.296447,-0.933707,-0.243985,-0.296447,-0.868679,-0.165699,-0.341108
189,1626666226599572000,-0.611087,-0.230784,-0.325920,-0.611087,-0.230784,-0.325920,-0.697316,-0.169967,-0.352216
190,1626666226632898000,-0.337873,-0.155245,-0.340120,-0.337873,-0.155245,-0.340120,-0.526224,-0.174534,-0.362124
191,1626666226666224000,-0.140329,-0.131616,-0.328238,-0.140329,-0.131616,-0.328238,-0.367138,-0.179432,-0.370709
192,1626666226699550000,-0.024889,-0.151135,-0.312254,-0.024889,-0.151135,-0.312254,-0.230063,-0.184245,-0.378036
193,1626666226732875000,0.020842,-0.151506,-0.299499,0.020842,-0.151506,-0.299499,-0.116063,-0.188879,-0.384262
194,1626666226766201000,0.023866,-0.144397,-0.293857,0.023866,-0.144397,-0.293857,-0.023356,-0.193399,-0.389845
195,1626666226799527000,0.016756,-0.140211,-0.300295,0.016756,-0.140211,-0.300295,0.050515,-0.197449,-0.394868
196,1626666226832853000,0.015986,-0.134358,-0.312021,0.015986,-0.134358,-0.312021,0.108175,-0.200995,-0.399415
197,1626666226866178000,0.024684,-0.127637,-0.320667,0.024684,-0.127637,-0.320667,0.151705,-0.203958,-0.403286
198,1626666226899504000,0.037339,-0.120467,-0.324924,0.037339,-0.120467,-0.324924,0.183874,-0.206310,-0.406661
199,1626666226932830000,0.046451,-0.118798,-0.326684,0.046451,-0.118798,-0.326684,0.206863,-0.208117,-0.409630
200,1626666226966155000,0.051147,-0.117504,-0.327031,0.051147,-0.117504,-0.327031,0.222164,-0.209436,-0.412177
201,1626666226999481000,0.048819,-0.118311,-0.326934,0.048819,-0.118311,-0.326934,0.231969,-0.210338,-0.414452
202,1626666227032807000,0.037143,-0.116041,-0.327648,0.037143,-0.116041,-0.327648,0.237791,-0.210901,-0.416510
203,1626666227066133000,0.023300,-0.110797,-0.328852,0.023300,-0.110797,-0.328852,0.240675,-0.210709,-0.417974
204,1626666227099458000,0.015254,-0.103954,-0.329724,0.015254,-0.103954,-0.329724,0.241930,-0.209905,-0.418976
205,1626666227132784000,0.017928,-0.096796,-0.330460,0.017928,-0.096796,-0.330460,0.242175,-0.208601,-0.419595
206,1626666227166110000,0.037293,-0.086621,-0.330476,0.037293,-0.086621,-0.330476,0.231630,-0.206232,-0.420863
207,1626666227199435000,0.074461,-0.076075,-0.329147,0.074461,-0.076075,-0.329147,0.210155,-0.202846,-0.422765
208,1626666227232762000,0.129074,-0.062083,-0.328504,0.129074,-0.062083,-0.328504,0.178741,-0.198571,-0.425244
209,1626666227266087000,0.182800,-0.052037,-0.329012,0.182800,-0.052037,-0.329012,0.139682,-0.191561,-0.427645
210,1626666227299413000,0.211167,-0.053394,-0.330799,0.211167,-0.053394,-0.330799,0.091923,-0.182054,-0.430262
211,1626666227332739000,0.198799,-0.057673,-0.337472,0.198799,-0.057673,-0.337472,0.032496,-0.170672,-0.433516
212,1626666227366064000,0.140576,-0.053218,-0.348320,0.140576,-0.053218,-0.348320,-0.041960,-0.157860,-0.438033
213,1626666227399390000,0.040310,-0.036126,-0.362634,0.040310,-0.036126,-0.362634,-0.135035,-0.144328,-0.444471
214,1626666227432716000,-0.102752,-0.024443,-0.380330,-0.102752,-0.024443,-0.380330,-0.245454,-0.130384,-0.452651
215,1626666227466042000,-0.289839,-0.004341,-0.407527,-0.289839,-0.004341,-0.407527,-0.371887,-0.115894,-0.462388
216,1626666227499367000,-0.512524,0.016109,-0.444395,-0.512524,0.016109,-0.444395,-0.510452,-0.101378,-0.473430
217,1626666227532693000,-0.750643,0.005832,-0.485702,-0.750643,0.005832,-0.485702,-0.656605,-0.087109,-0.485419
218,1626666227566019000,-0.970291,-0.019074,-0.531793,-0.970291,-0.019074,-0.531793,-0.807839,-0.073334,-0.498262
