stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
107,1626666305950820000,0.866822,0.013112,0.045306,0.866822,0.013112,0.045306,0.681677,0.007849,0.029152
108,1626666305984146000,0.875975,0.014108,0.044877,0.875975,0.014108,0.044877,0.692600,0.007920,0.029622
109,1626666306017471000,0.884333,0.013774,0.044415,0.884333,0.013774,0.044415,0.703087,0.007993,0.030078
110,1626666306050797000,0.891673,0.014187,0.043903,0.891673,0.014187,0.043903,0.713824,0.008069,0.030537
111,1626666306084123000,0.898959,0.014825,0.043870,0.898959,0.014825,0.043870,0.724331,0.008147,0.030989
112,1626666306117448000,0.906515,0.016546,0.043906,0.906515,0.016546,0.043906,0.734429,0.008225,0.031432
113,1626666306150774000,0.914384,0.016894,0.044268,0.914384,0.016894,0.044268,0.744810,0.008306,0.031887
114,1626666306184100000,0.921614,0.016721,0.044776,0.921614,0.016721,0.044776,0.755016,0.008386,0.032342
115,1626666306217426000,0.928987,0.016105,0.045383,0.928987,0.016105,0.045383,0.764872,0.008464,0.032796
116,1626666306250751000,0.936613,0.014907,0.045932,0.936613,0.014907,0.045932,0.775054,0.008541,0.033261
117,1626666306284077000,0.944299,0.013864,0.046720,0.944299,0.013864,0.046720,0.785125,0.008611,0.033727
118,1626666306317403000,0.952902,0.014131,0.048131,0.952902,0.014131,0.048131,0.794905,0.008676,0.034189
119,1626666306350728000,0.963340,0.015124,0.050718,0.963340,0.015124,0.050718,0.805019,0.008732,0.034658
120,1626666306384054000,0.976965,0.015735,0.054232,0.976965,0.015735,0.054232,0.815034,0.008776,0.035122
121,1626666306417380000,0.993991,0.015488,0.057586,0.993991,0.015488,0.057586,0.824770,0.008809,0.035577
122,1626666306450706000,1.012983,0.013205,0.060164,1.012983,0.013205,0.060164,0.834784,0.008830,0.036037
123,1626666306484032000,1.030517,0.009828,0.060712,1.030517,0.009828,0.060712,0.844644,0.008835,0.036493
124,1626666306517357000,1.045104,0.007829,0.058933,1.045104,0.007829,0.058933,0.854171,0.008827,0.036942
125,1626666306550683000,1.058106,0.005693,0.055347,1.058106,0.005693,0.055347,0.863869,0.008806,0.037402
126,1626666306584009000,1.067605,0.002048,0.051560,1.067605,0.002048,0.051560,0.873306,0.008770,0.037863
127,1626666306617335000,1.073709,-0.000359,0.049367,1.073709,-0.000359,0.049367,0.882320,0.008721,0.038324
128,1626666306650660000,1.075626,-0.002310,0.049415,1.075626,-0.002310,0.049415,0.891387,0.008661,0.038800
129,1626666306683986000,1.074815,-0.003965,0.051689,1.074815,-0.003965,0.051689,0.900088,0.008590,0.039281
130,1626666306717312000,1.072922,-0.004223,0.054961,1.072922,-0.004223,0.054961,0.908282,0.008510,0.039763
